Operación;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;;2022M06;3,19
Encuesta de Ocupación Hotelera;Total Nacional;;2022M05;3
Encuesta de Ocupación Hotelera;Total Nacional;;2022M04;2,9
Encuesta de Ocupación Hotelera;Total Nacional;;2022M03;2,91
Encuesta de Ocupación Hotelera;Total Nacional;;2022M02;2,65
Encuesta de Ocupación Hotelera;Total Nacional;;2022M01;2,81
Encuesta de Ocupación Hotelera;Total Nacional;;2021M12;2,71
Encuesta de Ocupación Hotelera;Total Nacional;;2021M11;2,77
Encuesta de Ocupación Hotelera;Total Nacional;;2021M10;2,94
Encuesta de Ocupación Hotelera;Total Nacional;;2021M09;3,11
Encuesta de Ocupación Hotelera;Total Nacional;;2021M08;3,31
Encuesta de Ocupación Hotelera;Total Nacional;;2021M07;3,08
Encuesta de Ocupación Hotelera;Total Nacional;;2021M06;2,51
Encuesta de Ocupación Hotelera;Total Nacional;;2021M05;2,16
Encuesta de Ocupación Hotelera;Total Nacional;;2021M04;2,12
Encuesta de Ocupación Hotelera;Total Nacional;;2021M03;2,03
Encuesta de Ocupación Hotelera;Total Nacional;;2021M02;2,07
Encuesta de Ocupación Hotelera;Total Nacional;;2021M01;2,19
Encuesta de Ocupación Hotelera;Total Nacional;;2020M12;2,29
Encuesta de Ocupación Hotelera;Total Nacional;;2020M11;2,43
Encuesta de Ocupación Hotelera;Total Nacional;;2020M10;2,13
Encuesta de Ocupación Hotelera;Total Nacional;;2020M09;2,34
Encuesta de Ocupación Hotelera;Total Nacional;;2020M08;2,86
Encuesta de Ocupación Hotelera;Total Nacional;;2020M07;2,66
Encuesta de Ocupación Hotelera;Total Nacional;;2020M06;1,98
Encuesta de Ocupación Hotelera;Total Nacional;;2020M05;2,75
Encuesta de Ocupación Hotelera;Total Nacional;;2020M04;0
Encuesta de Ocupación Hotelera;Total Nacional;;2020M03;3,15
Encuesta de Ocupación Hotelera;Total Nacional;;2020M02;2,73
Encuesta de Ocupación Hotelera;Total Nacional;;2020M01;2,86
Encuesta de Ocupación Hotelera;Total Nacional;;2019M12;2,72
Encuesta de Ocupación Hotelera;Total Nacional;;2019M11;2,74
Encuesta de Ocupación Hotelera;Total Nacional;;2019M10;3,11
Encuesta de Ocupación Hotelera;Total Nacional;;2019M09;3,4
Encuesta de Ocupación Hotelera;Total Nacional;;2019M08;3,61
Encuesta de Ocupación Hotelera;Total Nacional;;2019M07;3,56
Encuesta de Ocupación Hotelera;Total Nacional;;2019M06;3,27
Encuesta de Ocupación Hotelera;Total Nacional;;2019M05;3,04
Encuesta de Ocupación Hotelera;Total Nacional;;2019M04;2,93
Encuesta de Ocupación Hotelera;Total Nacional;;2019M03;2,86
Encuesta de Ocupación Hotelera;Total Nacional;;2019M02;2,76
Encuesta de Ocupación Hotelera;Total Nacional;;2019M01;2,95
Encuesta de Ocupación Hotelera;Total Nacional;;2018M12;2,74
Encuesta de Ocupación Hotelera;Total Nacional;;2018M11;2,82
Encuesta de Ocupación Hotelera;Total Nacional;;2018M10;3,22
Encuesta de Ocupación Hotelera;Total Nacional;;2018M09;3,43
Encuesta de Ocupación Hotelera;Total Nacional;;2018M08;3,7
Encuesta de Ocupación Hotelera;Total Nacional;;2018M07;3,65
Encuesta de Ocupación Hotelera;Total Nacional;;2018M06;3,33
Encuesta de Ocupación Hotelera;Total Nacional;;2018M05;3,18
Encuesta de Ocupación Hotelera;Total Nacional;;2018M04;2,97
Encuesta de Ocupación Hotelera;Total Nacional;;2018M03;2,91
Encuesta de Ocupación Hotelera;Total Nacional;;2018M02;2,84
Encuesta de Ocupación Hotelera;Total Nacional;;2018M01;3
Encuesta de Ocupación Hotelera;Total Nacional;;2017M12;2,79
Encuesta de Ocupación Hotelera;Total Nacional;;2017M11;2,89
Encuesta de Ocupación Hotelera;Total Nacional;;2017M10;3,27
Encuesta de Ocupación Hotelera;Total Nacional;;2017M09;3,47
Encuesta de Ocupación Hotelera;Total Nacional;;2017M08;3,78
Encuesta de Ocupación Hotelera;Total Nacional;;2017M07;3,66
Encuesta de Ocupación Hotelera;Total Nacional;;2017M06;3,44
Encuesta de Ocupación Hotelera;Total Nacional;;2017M05;3,19
Encuesta de Ocupación Hotelera;Total Nacional;;2017M04;2,99
Encuesta de Ocupación Hotelera;Total Nacional;;2017M03;2,96
Encuesta de Ocupación Hotelera;Total Nacional;;2017M02;2,87
Encuesta de Ocupación Hotelera;Total Nacional;;2017M01;3,05
Encuesta de Ocupación Hotelera;Total Nacional;;2016M12;2,89
Encuesta de Ocupación Hotelera;Total Nacional;;2016M11;2,96
Encuesta de Ocupación Hotelera;Total Nacional;;2016M10;3,3
Encuesta de Ocupación Hotelera;Total Nacional;;2016M09;3,55
Encuesta de Ocupación Hotelera;Total Nacional;;2016M08;3,82
Encuesta de Ocupación Hotelera;Total Nacional;;2016M07;3,7
Encuesta de Ocupación Hotelera;Total Nacional;;2016M06;3,38
Encuesta de Ocupación Hotelera;Total Nacional;;2016M05;3,18
Encuesta de Ocupación Hotelera;Total Nacional;;2016M04;2,98
Encuesta de Ocupación Hotelera;Total Nacional;;2016M03;3,05
Encuesta de Ocupación Hotelera;Total Nacional;;2016M02;2,95
Encuesta de Ocupación Hotelera;Total Nacional;;2016M01;3,09
Encuesta de Ocupación Hotelera;Total Nacional;;2015M12;2,83
Encuesta de Ocupación Hotelera;Total Nacional;;2015M11;2,88
Encuesta de Ocupación Hotelera;Total Nacional;;2015M10;3,23
Encuesta de Ocupación Hotelera;Total Nacional;;2015M09;3,58
Encuesta de Ocupación Hotelera;Total Nacional;;2015M08;3,81
Encuesta de Ocupación Hotelera;Total Nacional;;2015M07;3,75
Encuesta de Ocupación Hotelera;Total Nacional;;2015M06;3,38
Encuesta de Ocupación Hotelera;Total Nacional;;2015M05;3,09
Encuesta de Ocupación Hotelera;Total Nacional;;2015M04;3,01
Encuesta de Ocupación Hotelera;Total Nacional;;2015M03;3,03
Encuesta de Ocupación Hotelera;Total Nacional;;2015M02;2,94
Encuesta de Ocupación Hotelera;Total Nacional;;2015M01;3,14
Encuesta de Ocupación Hotelera;Total Nacional;;2014M12;2,81
Encuesta de Ocupación Hotelera;Total Nacional;;2014M11;2,94
Encuesta de Ocupación Hotelera;Total Nacional;;2014M10;3,29
Encuesta de Ocupación Hotelera;Total Nacional;;2014M09;3,62
Encuesta de Ocupación Hotelera;Total Nacional;;2014M08;3,83
Encuesta de Ocupación Hotelera;Total Nacional;;2014M07;3,81
Encuesta de Ocupación Hotelera;Total Nacional;;2014M06;3,49
Encuesta de Ocupación Hotelera;Total Nacional;;2014M05;3,13
Encuesta de Ocupación Hotelera;Total Nacional;;2014M04;3,05
Encuesta de Ocupación Hotelera;Total Nacional;;2014M03;3,14
Encuesta de Ocupación Hotelera;Total Nacional;;2014M02;2,98
Encuesta de Ocupación Hotelera;Total Nacional;;2014M01;3,25
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2025M02;2,42
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2025M01;2,31
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M12;2,27
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M11;2,43
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M10;2,79
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M09;3
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M08;3,34
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M07;3,3
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M06;2,88
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M05;2,7
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M04;2,62
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M03;2,6
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M02;2,38
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2024M01;2,23
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M12;2,25
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M11;2,37
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M10;2,72
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M09;2,96
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M08;3,27
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M07;3,12
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M06;2,86
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M05;2,7
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M04;2,6
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M03;2,37
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M02;2,27
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2023M01;2,19
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M12;2,2
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M11;2,37
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M10;2,72
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M09;2,89
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M08;3,35
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M07;3,14
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M06;2,81
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M05;2,69
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M04;2,64
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M03;2,47
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M02;2,17
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2022M01;2,11
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M12;2,17
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M11;2,26
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M10;2,66
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M09;2,97
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M08;3,32
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M07;3,06
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M06;2,43
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M05;1,94
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M04;1,8
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M03;1,78
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M02;1,81
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2021M01;1,84
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M12;1,7
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M11;1,91
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M10;2,01
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M09;2,43
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M08;2,96
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M07;2,71
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M06;1,85
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M05;2,83
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M04;0
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M03;2,62
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M02;2,34
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2020M01;2,22
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M12;2,17
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M11;2,32
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M10;2,68
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M09;3
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M08;3,34
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M07;3,24
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M06;2,86
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M05;2,64
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M04;2,68
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M03;2,56
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M02;2,28
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2019M01;2,33
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M12;2,24
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M11;2,38
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M10;2,79
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M09;3,06
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M08;3,34
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M07;3,36
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M06;2,93
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M05;2,76
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M04;2,69
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M03;2,69
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M02;2,32
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2018M01;2,33
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M12;2,24
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M11;2,39
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M10;2,84
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M09;3,09
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M08;3,47
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M07;3,39
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M06;2,96
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M05;2,7
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M04;2,71
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M03;2,62
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M02;2,38
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2017M01;2,29
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M12;2,27
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M11;2,44
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M10;2,88
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M09;3,12
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M08;3,49
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M07;3,43
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M06;2,92
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M05;2,73
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M04;2,62
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M03;2,71
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M02;2,47
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2016M01;2,44
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M12;2,24
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M11;2,36
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M10;2,74
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M09;3,1
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M08;3,5
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M07;3,47
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M06;2,89
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M05;2,62
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M04;2,69
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M03;2,7
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M02;2,46
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2015M01;2,42
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M12;2,21
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M11;2,41
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M10;2,8
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M09;3,13
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M08;3,5
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M07;3,48
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M06;2,95
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M05;2,63
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M04;2,69
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M03;2,69
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M02;2,46
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;2014M01;2,49
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2025M02;2,04
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2025M01;2,01
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M12;1,86
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M11;1,89
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M10;1,86
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M09;1,88
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M08;2,05
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M07;1,99
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M06;1,83
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M05;1,83
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M04;1,82
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M03;2
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M02;2,07
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2024M01;2,04
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M12;1,85
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M11;1,92
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M10;1,94
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M09;1,89
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M08;2,05
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M07;2,03
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M06;1,93
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M05;1,91
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M04;1,96
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M03;2,06
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M02;2,18
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2023M01;2,08
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M12;1,98
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M11;1,92
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M10;1,97
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M09;1,95
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M08;2,12
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M07;2,04
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M06;1,92
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M05;1,93
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M04;1,99
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M03;2,15
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M02;2,13
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2022M01;2,15
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M12;2,05
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M11;1,85
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M10;1,93
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M09;1,91
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M08;2,18
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M07;2,11
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M06;1,86
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M05;1,83
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M04;1,94
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M03;1,88
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M02;2,04
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2021M01;2,03
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M12;1,97
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M11;2,31
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M10;2,03
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M09;1,92
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M08;2,19
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M07;2,03
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M06;1,97
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M05;3,01
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M04;0
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M03;2,09
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M02;2,1
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2020M01;2,02
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M12;1,97
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M11;1,87
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M10;1,87
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M09;1,91
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M08;2,1
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M07;2
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M06;1,86
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M05;1,8
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M04;1,88
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M03;1,97
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M02;2
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2019M01;2,02
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M12;1,92
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M11;1,83
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M10;1,9
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M09;1,9
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M08;2,08
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M07;1,97
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M06;1,84
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M05;1,81
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M04;1,87
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M03;2,02
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M02;2,07
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2018M01;2,08
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M12;1,94
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M11;1,88
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M10;1,91
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M09;1,86
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M08;2,08
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M07;1,98
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M06;1,83
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M05;1,83
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M04;1,94
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M03;1,96
Encuesta de Ocupación Hotelera;Total Nacional;02 Aragón;2017M02;2,01
